Experiment ID,Group,Layer,transgenic-line,strain,gender,injection-coordinates,injection-volume
100140756,FrA,All,WT,C57BL/6J,M,"[2400, 2600, 7100]",0.124482
100140949,Rsp,All,WT,C57BL/6J,M,"[7700, 1200, 6000]",0.117875
100141219,Vis,All,WT,C57BL/6J,M,"[9100, 1300, 8000]",0.173612
100141599,Vis,All,WT,C57BL/6J,M,"[8100, 1000, 7300]",0.119866
100141796,Vis,All,WT,C57BL/6J,M,"[9400, 2400, 9300]",0.158867
100142655,S1/2,All,WT,C57BL/6J,M,"[7000, 1600, 8200]",0.11662
100148142,Rsp,All,WT,C57BL/6J,M,"[7200, 1200, 6000]",0.07169
100149109,Aud,All,WT,C57BL/6J,M,"[7800, 2800, 9800]",0.049439
112162251,S1/2,All,WT,C57BL/6J,M,"[5700, 2100, 9300]",0.117388
112229103,Ptl,All,WT,C57BL/6J,M,"[7700, 1000, 6800]",0.03226
112306316,LO/VO,All,WT,C57BL/6J,M,"[3100, 3500, 7000]",0.324949
112595376,Rsp,All,WT,C57BL/6J,M,"[8600, 1600, 6800]",0.066831
112596790,AI/GI/DI,All,WT,C57BL/6J,M,"[3800, 4300, 8600]",0.294591
112670853,M1/2,All,WT,C57BL/6J,M,"[3100, 2600, 8000]",0.214222
112881858,Aud,All,WT,C57BL/6J,M,"[8300, 3400, 10000]",0.086969
112936582,S1/2,All,WT,C57BL/6J,M,"[4600, 2700, 8900]",0.175167
113144533,Amyg,All,WT,C57BL/6J,M,"[6700, 5800, 8900]",0.310123
113887162,Vis,All,WT,C57BL/6J,M,"[8300, 1300, 8100]",0.35562
116903968,Vis,All,WT,C57BL/6J,M,"[8900, 1800, 9000]",0.156213
117298988,S1/2,All,WT,C57BL/6J,M,"[6400, 3700, 9700]",0.282782
120491896,Aud,All,WT,C57BL/6J,M,"[7900, 3000, 9800]",0.064253
120814821,M1/2,L5,Rbp4-Cre_KL100,unknown,F,"[4100, 2200, 7300]",0.156917
120875816,S1/2,L5,Rbp4-Cre_KL100,unknown,F,"[5900, 2100, 8800]",0.079808
121510421,Vis,L5,Rbp4-Cre_KL100,unknown,F,"[9400, 1400, 8000]",0.035524
122641784,Sub,All,WT,C57BL/6J,M,"[8100, 5400, 8900]",0.056891
125832322,Amyg,All,WT,C57BL/6J,M,"[7300, 6200, 8500]",0.253454
126117554,d/vACC,L5,Rbp4-Cre_KL100,unknown,M,"[5200, 2400, 6100]",0.142052
126908007,S1/2,All,WT,C57BL/6J,M,"[5800, 2000, 9200]",0.325616
127222723,Sub,All,WT,C57BL/6J,M,"[9100, 4200, 9300]",0.50004
127649005,Sub,All,WT,C57BL/6J,M,"[8100, 4900, 8500]",0.540497
127795906,Sub,All,WT,C57BL/6J,M,"[8900, 2300, 8100]",0.28667
139426984,d/vACC,All,WT,C57BL/6J,M,"[5300, 1900, 5900]",0.086324
139520203,d/vACC,All,WT,C57BL/6J,M,"[5400, 1900, 6000]",0.116901
141602484,M1/2,All,WT,C57BL/6J,M,"[4200, 1900, 7300]",0.180769
142656218,Rhi/Tem,All,WT,C57BL/6J,M,"[9400, 3800, 9800]",0.123722
146077302,Vis,All,WT,C57BL/6J,M,"[8600, 900, 7200]",0.052389
146858006,Aud,All,WT,C57BL/6J,M,"[8600, 2500, 9800]",0.084186
152994878,Sub,All,WT,C57BL/6J,M,"[9300, 4100, 9300]",0.116975
156394513,M1/2,L5,A930038C07Rik-Tg1-Cre,B6.Cg,F,"[3800, 2100, 7100]",0.104113
156493815,Aud,L5,Etv1-CreERT2,B6.Cg,F,"[7800, 2600, 9700]",0.2045
156741826,LO/VO,L5,Rbp4-Cre_KL100,unknown,M,"[2600, 3700, 7100]",0.397148
157062358,Rhi/Tem,All,WT,C57BL/6J,M,"[9500, 2800, 9600]",0.060422
157063781,Sub,All,WT,C57BL/6J,M,"[8900, 2200, 8100]",0.113087
157556400,IL,All,WT,C57BL/6J,M,"[4000, 3700, 6200]",0.105299
157654817,S1/2,All,WT,C57BL/6J,M,"[4200, 3400, 9200]",0.095364
157710335,FrA,All,WT,C57BL/6J,M,"[2600, 2700, 7400]",0.087187
157711748,PrL/MO,All,WT,C57BL/6J,M,"[3200, 3300, 6100]",0.108321
158255941,Vis,L5,A930038C07Rik-Tg1-Cre,B6.Cg,F,"[9400, 1400, 8300]",0.039007
158314278,Aud,All,WT,C57BL/6J,M,"[7900, 2300, 9700]",0.243249
158435116,LO/VO,All,WT,C57BL/6J,M,"[2900, 3800, 6700]",0.125197
159319654,d/vACC,L5,A930038C07Rik-Tg1-Cre,B6.Cg,F,"[5200, 2100, 6000]",0.045202
159832064,Rsp,L5,Rbp4-Cre_KL100,unknown,F,"[7800, 1400, 6000]",0.117248
161458737,d/vACC,L5,Rbp4-Cre_KL100,unknown,F,"[4600, 2400, 6000]",0.35836
166054929,Rsp,L5,Rbp4-Cre_KL100,unknown,M,"[8500, 1000, 6100]",0.250529
166082128,M1/2,L5,Rbp4-Cre_KL100,unknown,M,"[3300, 2400, 7800]",0.322731
166083557,Rhi/Tem,L5,Rbp4-Cre_KL100,unknown,F,"[9600, 2800, 9500]",0.143854
166153483,AI/GI/DI,L5,Rbp4-Cre_KL100,unknown,M,"[3300, 4300, 8100]",0.345466
166271142,Rsp,L5,A930038C07Rik-Tg1-Cre,B6.Cg,F,"[7700, 1200, 6000]",0.094002
166323186,S1/2,L5,A930038C07Rik-Tg1-Cre,B6.Cg,M,"[6200, 1500, 7700]",0.035333
166323896,d/vACC,L5,A930038C07Rik-Tg1-Cre,B6.Cg,M,"[4200, 2000, 6100]",0.163949
166324604,Vis,L5,A930038C07Rik-Tg1-Cre,B6.Cg,M,"[8600, 1300, 8100]",0.077434
166461899,Vis,L5,A930038C07Rik-Tg1-Cre,B6.Cg,F,"[9500, 2300, 9300]",0.032779
167794131,Vis,L5,Rbp4-Cre_KL100,unknown,F,"[8600, 1700, 8800]",0.115341
168002073,M1/2,L234,Cux2-IRES-Cre,unknown,M,"[3800, 1900, 7100]",0.202714
168003640,S1/2,L234,Cux2-IRES-Cre,unknown,M,"[6100, 2100, 8900]",0.231043
168163498,S1/2,L5,Rbp4-Cre_KL100,unknown,M,"[5800, 3600, 9700]",0.242035
168164972,LO/VO,L5,A930038C07Rik-Tg1-Cre,B6.Cg,M,"[2700, 3700, 7000]",0.288391
168165712,Ptl,L5,A930038C07Rik-Tg1-Cre,B6.Cg,F,"[7900, 1100, 7400]",0.015441
171276330,S1/2,L5,A930038C07Rik-Tg1-Cre,B6.Cg,M,"[5900, 2100, 8700]",0.012751
174361746,AI/GI/DI,All,WT,C57BL/6J,M,"[6300, 4700, 9900]",0.363888
176430283,Aud,L234,Cux2-IRES-Cre,unknown,M,"[7800, 2400, 9500]",0.293934
178488859,Sub,NA,Satb2-Cre_MO23,unknown,F,"[9600, 4100, 8600]",0.737451
180719293,M1/2,All,WT,C57BL/6J,M,"[2400, 3000, 7700]",0.769831
180917660,AI/GI/DI,All,WT,C57BL/6J,M,"[5600, 4400, 9800]",1.16191
181600380,Aud,L5,Gpr26-Cre_KO250,unknown,M,"[7900, 2700, 9800]",0.041505
182226839,Sub,NA,Vipr2-Cre_KE2,unknown,M,"[9200, 3700, 9500]",0.175034
182294687,Amyg,NA,Rbp4-Cre_KL100,unknown,F,"[7100, 6500, 8500]",0.217468
182467026,S1/2,L5,A930038C07Rik-Tg1-Cre,B6.Cg,F,"[6400, 2000, 9000]",0.01632
182616478,M1/2,L234,Cux2-IRES-Cre,unknown,F,"[6200, 1200, 6900]",0.120931
182794184,Rhi/Tem,L5,Rbp4-Cre_KL100,B6.Cg,F,"[9700, 4000, 9800]",0.066608
183461297,d/vACC,L234,Cux2-IRES-Cre,unknown,F,"[5300, 2100, 5900]",0.086148
183470468,d/vACC,L234,Cux2-IRES-Cre,unknown,F,"[5500, 2100, 5900]",0.182905
183471174,LO/VO,L234,Cux2-IRES-Cre,unknown,F,"[2500, 3600, 7100]",0.204871
184167484,Ptl,L234,Cux2-IRES-Cre,B6.Cg,F,"[8000, 800, 7300]",0.12762
184168899,AI/GI/DI,L234,Grp-Cre_KH288,B6;FVB;ICR,M,"[3600, 4700, 8800]",0.094153
